source_group,feature_name,required_for_85_target_experiment,currently_available,historical_backfill_possible,live_collection_needed,estimated_coverage,blocking_issue,priority,interpretation,implementation_status,feature_available_at_required,post_cutoff_information_forbidden
bullpen_usage_last_5_days,opponent_bullpen_innings_last_5,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,historically_backfillable,True,True
bullpen_high_leverage_usage,kt_closer_used_yesterday,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
bullpen_high_leverage_usage,opponent_closer_used_yesterday,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
lineup_confirmed,kt_lineup_confirmed,True,False,False,True,low,timestamped pregame source required,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,live_collection_required,True,True
lineup_confirmed,opponent_lineup_confirmed,True,False,False,True,low,timestamped pregame source required,P0,Required for next serious KT 85% experiment; usable only when timestamped before prediction cutoff,live_collection_required,True,True
batting_order_stability,kt_top_order_stability_score,False,False,False,True,low,timestamped pregame source required,P1,Useful supporting context; usable only when timestamped before prediction cutoff,live_collection_required,True,True
key_hitter_absence,kt_cleanup_hitter_available,False,False,False,True,low,timestamped pregame source required,P1,Useful supporting context; usable only when timestamped before prediction cutoff,live_collection_required,True,True
catcher_starting_status,kt_primary_catcher_starting,False,False,False,True,low,timestamped pregame source required,P1,Useful supporting context; usable only when timestamped before prediction cutoff,live_collection_required,True,True
stadium_context,stadium_name,False,True,True,False,high,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,implemented,True,True
stadium_context,kt_stadium_prior_win_rate,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
stadium_context,kt_vs_opponent_at_stadium_prior_win_rate,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
travel_rest_context,kt_rest_days_before_game,False,True,True,False,high,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,implemented,True,True
travel_rest_context,opponent_rest_days_before_game,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
travel_rest_context,kt_travel_after_away_series,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
travel_rest_context,opponent_travel_after_away_series,False,False,True,False,medium,,P1,Useful supporting context; usable only when timestamped before prediction cutoff,schema_defined,True,True
